"kind","scenario","n","effect","kappa_theta","kappa_phi","method","rejection_rate","R","mc_error","B","alpha","target_R","completed"
"reduced_sensitivity","A3_axial",100,8,2,16,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,2,16,"HSIC fixed-grid sensitivity",0.228,500,0.0187625158227781,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,2,16,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,4,16,"HSIC fixed-grid sensitivity",0.038,500,0.00855055553750749,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,4,16,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,4,16,"HSIC fixed-grid sensitivity",0.698,500,0.0205327056181108,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,4,16,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,8,16,"HSIC fixed-grid sensitivity",0.036,500,0.0083311463797007,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,8,16,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,8,16,"HSIC fixed-grid sensitivity",0.926,500,0.0117067501895274,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,8,16,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,16,16,"HSIC fixed-grid sensitivity",0.048,500,0.00955991631762538,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,16,16,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,16,16,"HSIC fixed-grid sensitivity",0.946,500,0.0101078187557949,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,16,16,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
