method,statistic,p.value,retained_grid_points,kind,scenario,n,effect,repetition,B,seed
HSIC standardized multi-scale,-1.07617784506812,0.954,7,null,N1_uniform_uniform,100,0,33,499,20460936
naive Euclidean-angle HSIC anti-example,0.00125631531150604,0.588,NA,null,N1_uniform_uniform,100,0,33,499,20460936
first-order trigonometric moment diagnostic,0.0157572428524108,0.8,NA,null,N1_uniform_uniform,100,0,33,499,20460936
HSIC fixed,0.393655339498008,0.068,NA,null,N1_uniform_uniform,100,0,34,499,20460946
HSIC median,0.00448645567750359,0.046,NA,null,N1_uniform_uniform,100,0,34,499,20460946
HSIC standardized multi-scale,0.685542181000079,0.39,7,null,N1_uniform_uniform,100,0,34,499,20460946
naive Euclidean-angle HSIC anti-example,0.00219843416700308,0.31,NA,null,N1_uniform_uniform,100,0,34,499,20460946
first-order trigonometric moment diagnostic,0.0893747905876695,0.074,NA,null,N1_uniform_uniform,100,0,34,499,20460946
HSIC fixed,0.186587043847404,0.814,NA,null,N1_uniform_uniform,100,0,35,499,20460956
HSIC median,0.000552188866876193,0.958,NA,null,N1_uniform_uniform,100,0,35,499,20460956
HSIC standardized multi-scale,0.926360679874545,0.314,7,null,N1_uniform_uniform,100,0,35,499,20460956
naive Euclidean-angle HSIC anti-example,0.000930420811280703,0.802,NA,null,N1_uniform_uniform,100,0,35,499,20460956
first-order trigonometric moment diagnostic,0.00295341986803913,0.996,NA,null,N1_uniform_uniform,100,0,35,499,20460956
HSIC fixed,0.210409281742795,0.692,NA,null,N1_uniform_uniform,100,0,36,499,20460966
HSIC median,0.0016628347709623,0.53,NA,null,N1_uniform_uniform,100,0,36,499,20460966
HSIC standardized multi-scale,-0.60732693443067,0.848,6,null,N1_uniform_uniform,100,0,36,499,20460966
naive Euclidean-angle HSIC anti-example,0.00172267503432739,0.428,NA,null,N1_uniform_uniform,100,0,36,499,20460966
first-order trigonometric moment diagnostic,0.0375387170721954,0.448,NA,null,N1_uniform_uniform,100,0,36,499,20460966
HSIC fixed,0.205937949673581,0.73,NA,null,N1_uniform_uniform,100,0,37,499,20460976
HSIC median,0.000654301909596194,0.948,NA,null,N1_uniform_uniform,100,0,37,499,20460976
HSIC standardized multi-scale,-0.715196865098068,0.916,7,null,N1_uniform_uniform,100,0,37,499,20460976
naive Euclidean-angle HSIC anti-example,0.000198256662754794,1,NA,null,N1_uniform_uniform,100,0,37,499,20460976
first-order trigonometric moment diagnostic,0.00395485627826564,0.982,NA,null,N1_uniform_uniform,100,0,37,499,20460976
HSIC fixed,0.196288690203034,0.758,NA,null,N1_uniform_uniform,100,0,38,499,20460986
HSIC median,0.00159773721647746,0.634,NA,null,N1_uniform_uniform,100,0,38,499,20460986
HSIC standardized multi-scale,-0.759636017521937,0.898,7,null,N1_uniform_uniform,100,0,38,499,20460986
naive Euclidean-angle HSIC anti-example,0.00123596778276333,0.568,NA,null,N1_uniform_uniform,100,0,38,499,20460986
first-order trigonometric moment diagnostic,0.0320848856608955,0.528,NA,null,N1_uniform_uniform,100,0,38,499,20460986
HSIC fixed,0.16485061800514,0.908,NA,null,N1_uniform_uniform,100,0,39,499,20460996
HSIC median,0.000629250165941093,0.946,NA,null,N1_uniform_uniform,100,0,39,499,20460996
HSIC standardized multi-scale,-0.289692867606873,0.774,7,null,N1_uniform_uniform,100,0,39,499,20460996
naive Euclidean-angle HSIC anti-example,0.00025350910349842,0.982,NA,null,N1_uniform_uniform,100,0,39,499,20460996
first-order trigonometric moment diagnostic,0.00669282686455959,0.97,NA,null,N1_uniform_uniform,100,0,39,499,20460996
HSIC fixed,0.319021011827954,0.252,NA,null,N1_uniform_uniform,100,0,40,499,20461006
HSIC median,0.00316655165873818,0.15,NA,null,N1_uniform_uniform,100,0,40,499,20461006
HSIC standardized multi-scale,0.83393485498293,0.316,6,null,N1_uniform_uniform,100,0,40,499,20461006
naive Euclidean-angle HSIC anti-example,0.00337403923624334,0.142,NA,null,N1_uniform_uniform,100,0,40,499,20461006
first-order trigonometric moment diagnostic,0.0634573263252564,0.148,NA,null,N1_uniform_uniform,100,0,40,499,20461006
HSIC fixed,0.30165450457022,0.244,NA,null,N1_uniform_uniform,100,0,41,499,20461016
HSIC median,0.0025156825812547,0.256,NA,null,N1_uniform_uniform,100,0,41,499,20461016
HSIC standardized multi-scale,0.890824384535519,0.268,6,null,N1_uniform_uniform,100,0,41,499,20461016
naive Euclidean-angle HSIC anti-example,0.00304597617243288,0.138,NA,null,N1_uniform_uniform,100,0,41,499,20461016
first-order trigonometric moment diagnostic,0.0487394565230004,0.304,NA,null,N1_uniform_uniform,100,0,41,499,20461016
HSIC fixed,0.219212685327082,0.616,NA,null,N1_uniform_uniform,100,0,42,499,20461026
HSIC median,0.00124348708984219,0.71,NA,null,N1_uniform_uniform,100,0,42,499,20461026
HSIC standardized multi-scale,0.580777807414948,0.38,6,null,N1_uniform_uniform,100,0,42,499,20461026
naive Euclidean-angle HSIC anti-example,0.00146360346597638,0.474,NA,null,N1_uniform_uniform,100,0,42,499,20461026
first-order trigonometric moment diagnostic,0.0217022867298325,0.704,NA,null,N1_uniform_uniform,100,0,42,499,20461026
HSIC fixed,0.238817678594246,0.496,NA,null,N1_uniform_uniform,100,0,43,499,20461036
HSIC median,0.00217407883935426,0.334,NA,null,N1_uniform_uniform,100,0,43,499,20461036
HSIC standardized multi-scale,-0.791506504360974,0.904,6,null,N1_uniform_uniform,100,0,43,499,20461036
naive Euclidean-angle HSIC anti-example,0.00299435751833636,0.192,NA,null,N1_uniform_uniform,100,0,43,499,20461036
first-order trigonometric moment diagnostic,0.0435466618799188,0.32,NA,null,N1_uniform_uniform,100,0,43,499,20461036
HSIC fixed,0.246039319527726,0.504,NA,null,N1_uniform_uniform,100,0,44,499,20461046
HSIC median,0.00153672534767102,0.564,NA,null,N1_uniform_uniform,100,0,44,499,20461046
HSIC standardized multi-scale,1.00296876711009,0.29,7,null,N1_uniform_uniform,100,0,44,499,20461046
naive Euclidean-angle HSIC anti-example,0.00137740678469731,0.55,NA,null,N1_uniform_uniform,100,0,44,499,20461046
first-order trigonometric moment diagnostic,0.0296621669939892,0.574,NA,null,N1_uniform_uniform,100,0,44,499,20461046
HSIC fixed,0.279377334184653,0.33,NA,null,N1_uniform_uniform,100,0,45,499,20461056
HSIC median,0.00227339488407343,0.362,NA,null,N1_uniform_uniform,100,0,45,499,20461056
HSIC standardized multi-scale,0.226458463648338,0.594,7,null,N1_uniform_uniform,100,0,45,499,20461056
naive Euclidean-angle HSIC anti-example,0.00238010618513979,0.258,NA,null,N1_uniform_uniform,100,0,45,499,20461056
