method,statistic,p.value,retained_grid_points,kind,scenario,n,effect,repetition,B,seed
first-order trigonometric moment diagnostic,0.0837841446674492,0.054,NA,null,N1_uniform_uniform,100,0,52,499,20461126
HSIC fixed,0.185841872103361,0.858,NA,null,N1_uniform_uniform,100,0,53,499,20461136
HSIC median,0.0012111105113533,0.694,NA,null,N1_uniform_uniform,100,0,53,499,20461136
HSIC standardized multi-scale,0.869196216426014,0.318,7,null,N1_uniform_uniform,100,0,53,499,20461136
naive Euclidean-angle HSIC anti-example,0.00174960343302746,0.46,NA,null,N1_uniform_uniform,100,0,53,499,20461136
first-order trigonometric moment diagnostic,0.024786304694899,0.66,NA,null,N1_uniform_uniform,100,0,53,499,20461136
HSIC fixed,0.209416542292916,0.704,NA,null,N1_uniform_uniform,100,0,54,499,20461146
HSIC median,0.00129892280407277,0.744,NA,null,N1_uniform_uniform,100,0,54,499,20461146
HSIC standardized multi-scale,-0.472812374630871,0.764,5,null,N1_uniform_uniform,100,0,54,499,20461146
naive Euclidean-angle HSIC anti-example,0.000646863677750633,0.874,NA,null,N1_uniform_uniform,100,0,54,499,20461146
first-order trigonometric moment diagnostic,0.0186928639855395,0.772,NA,null,N1_uniform_uniform,100,0,54,499,20461146
HSIC fixed,0.261080539761257,0.42,NA,null,N1_uniform_uniform,100,0,55,499,20461156
HSIC median,0.00195468903444625,0.418,NA,null,N1_uniform_uniform,100,0,55,499,20461156
HSIC standardized multi-scale,0.0139706252475466,0.65,7,null,N1_uniform_uniform,100,0,55,499,20461156
naive Euclidean-angle HSIC anti-example,0.000761296224873527,0.79,NA,null,N1_uniform_uniform,100,0,55,499,20461156
first-order trigonometric moment diagnostic,0.0375106001491421,0.448,NA,null,N1_uniform_uniform,100,0,55,499,20461156
HSIC fixed,0.196311221538618,0.758,NA,null,N1_uniform_uniform,100,0,56,499,20461166
HSIC median,0.00199785637072451,0.398,NA,null,N1_uniform_uniform,100,0,56,499,20461166
HSIC standardized multi-scale,-1.5971851830859,0.992,7,null,N1_uniform_uniform,100,0,56,499,20461166
naive Euclidean-angle HSIC anti-example,0.00346613127397871,0.122,NA,null,N1_uniform_uniform,100,0,56,499,20461166
first-order trigonometric moment diagnostic,0.0445889917969908,0.358,NA,null,N1_uniform_uniform,100,0,56,499,20461166
HSIC fixed,0.410293022323351,0.064,NA,null,N1_uniform_uniform,100,0,57,499,20461176
HSIC median,0.0052536303855877,0.024,NA,null,N1_uniform_uniform,100,0,57,499,20461176
HSIC standardized multi-scale,1.43733692187877,0.182,6,null,N1_uniform_uniform,100,0,57,499,20461176
naive Euclidean-angle HSIC anti-example,0.00335582270038768,0.16,NA,null,N1_uniform_uniform,100,0,57,499,20461176
first-order trigonometric moment diagnostic,0.140530975944272,0.006,NA,null,N1_uniform_uniform,100,0,57,499,20461176
HSIC fixed,0.201191748200914,0.752,NA,null,N1_uniform_uniform,100,0,58,499,20461186
HSIC median,0.00125379741529146,0.678,NA,null,N1_uniform_uniform,100,0,58,499,20461186
HSIC standardized multi-scale,0.0873576979019985,0.63,7,null,N1_uniform_uniform,100,0,58,499,20461186
naive Euclidean-angle HSIC anti-example,0.000854229497977536,0.772,NA,null,N1_uniform_uniform,100,0,58,499,20461186
first-order trigonometric moment diagnostic,0.0237785047926141,0.694,NA,null,N1_uniform_uniform,100,0,58,499,20461186
HSIC fixed,0.298100027350071,0.238,NA,null,N1_uniform_uniform,100,0,59,499,20461196
HSIC median,0.00253202339305035,0.262,NA,null,N1_uniform_uniform,100,0,59,499,20461196
HSIC standardized multi-scale,0.229524062992757,0.556,7,null,N1_uniform_uniform,100,0,59,499,20461196
naive Euclidean-angle HSIC anti-example,0.00238526331635312,0.252,NA,null,N1_uniform_uniform,100,0,59,499,20461196
first-order trigonometric moment diagnostic,0.0521576062313069,0.304,NA,null,N1_uniform_uniform,100,0,59,499,20461196
HSIC fixed,0.187313283027153,0.826,NA,null,N1_uniform_uniform,100,0,60,499,20461206
HSIC median,0.000933760120127373,0.836,NA,null,N1_uniform_uniform,100,0,60,499,20461206
HSIC standardized multi-scale,1.3145788450029,0.192,7,null,N1_uniform_uniform,100,0,60,499,20461206
naive Euclidean-angle HSIC anti-example,0.00150291969176317,0.486,NA,null,N1_uniform_uniform,100,0,60,499,20461206
first-order trigonometric moment diagnostic,0.0176819889602457,0.75,NA,null,N1_uniform_uniform,100,0,60,499,20461206
HSIC fixed,0.236758297592141,0.568,NA,null,N1_uniform_uniform,100,0,61,499,20461216
HSIC median,0.00183722816001354,0.478,NA,null,N1_uniform_uniform,100,0,61,499,20461216
HSIC standardized multi-scale,0.903306746981918,0.316,7,null,N1_uniform_uniform,100,0,61,499,20461216
naive Euclidean-angle HSIC anti-example,0.000851910593975313,0.796,NA,null,N1_uniform_uniform,100,0,61,499,20461216
first-order trigonometric moment diagnostic,0.0363744888069421,0.442,NA,null,N1_uniform_uniform,100,0,61,499,20461216
HSIC fixed,0.263236372680292,0.424,NA,null,N1_uniform_uniform,100,0,62,499,20461226
HSIC median,0.00224614606185921,0.338,NA,null,N1_uniform_uniform,100,0,62,499,20461226
HSIC standardized multi-scale,0.426925295383326,0.48,7,null,N1_uniform_uniform,100,0,62,499,20461226
naive Euclidean-angle HSIC anti-example,0.00165926872497446,0.464,NA,null,N1_uniform_uniform,100,0,62,499,20461226
first-order trigonometric moment diagnostic,0.0540219283388446,0.294,NA,null,N1_uniform_uniform,100,0,62,499,20461226
HSIC fixed,0.20142459743675,0.692,NA,null,N1_uniform_uniform,100,0,63,499,20461236
HSIC median,0.00145065113624058,0.634,NA,null,N1_uniform_uniform,100,0,63,499,20461236
HSIC standardized multi-scale,0.461881003814623,0.454,7,null,N1_uniform_uniform,100,0,63,499,20461236
naive Euclidean-angle HSIC anti-example,0.00114072071101053,0.636,NA,null,N1_uniform_uniform,100,0,63,499,20461236
first-order trigonometric moment diagnostic,0.0272490839589893,0.604,NA,null,N1_uniform_uniform,100,0,63,499,20461236
HSIC fixed,0.26243919172614,0.43,NA,null,N1_uniform_uniform,100,0,64,499,20461246
HSIC median,0.00190009888556569,0.422,NA,null,N1_uniform_uniform,100,0,64,499,20461246
HSIC standardized multi-scale,1.16423679927694,0.198,6,null,N1_uniform_uniform,100,0,64,499,20461246
naive Euclidean-angle HSIC anti-example,0.00155842264464944,0.524,NA,null,N1_uniform_uniform,100,0,64,499,20461246
first-order trigonometric moment diagnostic,0.0352775005184078,0.494,NA,null,N1_uniform_uniform,100,0,64,499,20461246
HSIC fixed,0.231398632272018,0.596,NA,null,N1_uniform_uniform,100,0,65,499,20461256
HSIC median,0.00132321329569184,0.728,NA,null,N1_uniform_uniform,100,0,65,499,20461256
HSIC standardized multi-scale,-0.108906945100622,0.69,7,null,N1_uniform_uniform,100,0,65,499,20461256
naive Euclidean-angle HSIC anti-example,0.000422902627182271,0.948,NA,null,N1_uniform_uniform,100,0,65,499,20461256
first-order trigonometric moment diagnostic,0.0219068408711157,0.674,NA,null,N1_uniform_uniform,100,0,65,499,20461256
HSIC fixed,0.265153682578581,0.404,NA,null,N1_uniform_uniform,100,0,66,499,20461266
HSIC median,0.00200115259629424,0.442,NA,null,N1_uniform_uniform,100,0,66,499,20461266
HSIC standardized multi-scale,1.61998379488616,0.112,7,null,N1_uniform_uniform,100,0,66,499,20461266
naive Euclidean-angle HSIC anti-example,0.00145493607467713,0.566,NA,null,N1_uniform_uniform,100,0,66,499,20461266
first-order trigonometric moment diagnostic,0.0329367098921761,0.51,NA,null,N1_uniform_uniform,100,0,66,499,20461266
HSIC fixed,0.354278848436907,0.118,NA,null,N1_uniform_uniform,100,0,67,499,20461276
HSIC median,0.00280478929541529,0.234,NA,null,N1_uniform_uniform,100,0,67,499,20461276
HSIC standardized multi-scale,0.816583856516545,0.328,6,null,N1_uniform_uniform,100,0,67,499,20461276
naive Euclidean-angle HSIC anti-example,0.00629057095622573,0.008,NA,null,N1_uniform_uniform,100,0,67,499,20461276
first-order trigonometric moment diagnostic,0.0492160657190733,0.326,NA,null,N1_uniform_uniform,100,0,67,499,20461276
HSIC fixed,0.227968499926616,0.604,NA,null,N1_uniform_uniform,100,0,68,499,20461286
HSIC median,0.00108343854988604,0.76,NA,null,N1_uniform_uniform,100,0,68,499,20461286
HSIC standardized multi-scale,0.923183135434416,0.324,7,null,N1_uniform_uniform,100,0,68,499,20461286
naive Euclidean-angle HSIC anti-example,0.00156323411068245,0.46,NA,null,N1_uniform_uniform,100,0,68,499,20461286
first-order trigonometric moment diagnostic,0.0134069829796007,0.85,NA,null,N1_uniform_uniform,100,0,68,499,20461286
HSIC fixed,0.255200588010114,0.48,NA,null,N1_uniform_uniform,100,0,69,499,20461296
HSIC median,0.00137817513268548,0.668,NA,null,N1_uniform_uniform,100,0,69,499,20461296
HSIC standardized multi-scale,0.123710696891103,0.57,6,null,N1_uniform_uniform,100,0,69,499,20461296
naive Euclidean-angle HSIC anti-example,0.00152446112434527,0.5,NA,null,N1_uniform_uniform,100,0,69,499,20461296
first-order trigonometric moment diagnostic,0.0225985172830032,0.69,NA,null,N1_uniform_uniform,100,0,69,499,20461296
HSIC fixed,0.151976597303818,0.91,NA,null,N1_uniform_uniform,100,0,70,499,20461306
HSIC median,0.00111282014323173,0.784,NA,null,N1_uniform_uniform,100,0,70,499,20461306
HSIC standardized multi-scale,-1.08267357480698,0.946,6,null,N1_uniform_uniform,100,0,70,499,20461306
naive Euclidean-angle HSIC anti-example,0.000901529811838383,0.714,NA,null,N1_uniform_uniform,100,0,70,499,20461306
first-order trigonometric moment diagnostic,0.0237611310229751,0.648,NA,null,N1_uniform_uniform,100,0,70,499,20461306
HSIC fixed,0.339744766470238,0.142,NA,null,N1_uniform_uniform,100,0,71,499,20461316
HSIC median,0.00420614675443696,0.062,NA,null,N1_uniform_uniform,100,0,71,499,20461316
HSIC standardized multi-scale,-0.751540889186536,0.878,6,null,N1_uniform_uniform,100,0,71,499,20461316
naive Euclidean-angle HSIC anti-example,0.00625132853631438,0.022,NA,null,N1_uniform_uniform,100,0,71,499,20461316
first-order trigonometric moment diagnostic,0.0843815589496362,0.064,NA,null,N1_uniform_uniform,100,0,71,499,20461316
HSIC fixed,0.275287607784371,0.376,NA,null,N1_uniform_uniform,100,0,72,499,20461326
HSIC median,0.00238791933656208,0.312,NA,null,N1_uniform_uniform,100,0,72,499,20461326
HSIC standardized multi-scale,0.302648402071154,0.486,5,null,N1_uniform_uniform,100,0,72,499,20461326
naive Euclidean-angle HSIC anti-example,0.00279869686371732,0.184,NA,null,N1_uniform_uniform,100,0,72,499,20461326
first-order trigonometric moment diagnostic,0.0505571410135652,0.28,NA,null,N1_uniform_uniform,100,0,72,499,20461326
HSIC fixed,0.283709384306546,0.33,NA,null,N1_uniform_uniform,100,0,73,499,20461336
HSIC median,0.00185242229408629,0.5,NA,null,N1_uniform_uniform,100,0,73,499,20461336
HSIC standardized multi-scale,0.566342502938023,0.432,7,null,N1_uniform_uniform,100,0,73,499,20461336
naive Euclidean-angle HSIC anti-example,0.00116730068137404,0.676,NA,null,N1_uniform_uniform,100,0,73,499,20461336
first-order trigonometric moment diagnostic,0.0363791941400449,0.458,NA,null,N1_uniform_uniform,100,0,73,499,20461336
HSIC fixed,0.215494176009968,0.654,NA,null,N1_uniform_uniform,100,0,74,499,20461346
HSIC median,0.00149779644852534,0.658,NA,null,N1_uniform_uniform,100,0,74,499,20461346
HSIC standardized multi-scale,0.396339092046909,0.474,6,null,N1_uniform_uniform,100,0,74,499,20461346
naive Euclidean-angle HSIC anti-example,0.00126730504469343,0.6,NA,null,N1_uniform_uniform,100,0,74,499,20461346
first-order trigonometric moment diagnostic,0.0258146266205185,0.608,NA,null,N1_uniform_uniform,100,0,74,499,20461346
HSIC fixed,0.0754514253246355,1,NA,null,N1_uniform_uniform,100,0,75,499,20461356
HSIC median,0.000198638698799441,1,NA,null,N1_uniform_uniform,100,0,75,499,20461356
HSIC standardized multi-scale,-0.181991070365629,0.706,6,null,N1_uniform_uniform,100,0,75,499,20461356
naive Euclidean-angle HSIC anti-example,0.000804254042779232,0.814,NA,null,N1_uniform_uniform,100,0,75,499,20461356
first-order trigonometric moment diagnostic,0.00197390745534964,0.996,NA,null,N1_uniform_uniform,100,0,75,499,20461356
HSIC fixed,0.266878099822422,0.404,NA,null,N1_uniform_uniform,100,0,76,499,20461366
HSIC median,0.00124197915448969,0.752,NA,null,N1_uniform_uniform,100,0,76,499,20461366
HSIC standardized multi-scale,1.0543442927053,0.262,7,null,N1_uniform_uniform,100,0,76,499,20461366
naive Euclidean-angle HSIC anti-example,0.000906316545568239,0.804,NA,null,N1_uniform_uniform,100,0,76,499,20461366
first-order trigonometric moment diagnostic,0.0137285116986632,0.842,NA,null,N1_uniform_uniform,100,0,76,499,20461366
HSIC fixed,0.432395361960031,0.036,NA,null,N1_uniform_uniform,100,0,77,499,20461376
HSIC median,0.00483919413427233,0.028,NA,null,N1_uniform_uniform,100,0,77,499,20461376
HSIC standardized multi-scale,0.933185858525867,0.282,6,null,N1_uniform_uniform,100,0,77,499,20461376
naive Euclidean-angle HSIC anti-example,0.00726456473857811,0.008,NA,null,N1_uniform_uniform,100,0,77,499,20461376
first-order trigonometric moment diagnostic,0.105263280652603,0.032,NA,null,N1_uniform_uniform,100,0,77,499,20461376
HSIC fixed,0.319542372967286,0.186,NA,null,N1_uniform_uniform,100,0,78,499,20461386
HSIC median,0.00289035073166033,0.24,NA,null,N1_uniform_uniform,100,0,78,499,20461386
HSIC standardized multi-scale,1.5366228042446,0.148,7,null,N1_uniform_uniform,100,0,78,499,20461386
naive Euclidean-angle HSIC anti-example,0.00274925644565638,0.19,NA,null,N1_uniform_uniform,100,0,78,499,20461386
first-order trigonometric moment diagnostic,0.0642393500262743,0.158,NA,null,N1_uniform_uniform,100,0,78,499,20461386
HSIC fixed,0.381170126796205,0.074,NA,null,N1_uniform_uniform,100,0,79,499,20461396
HSIC median,0.00340028452805249,0.122,NA,null,N1_uniform_uniform,100,0,79,499,20461396
HSIC standardized multi-scale,1.04925995384352,0.258,7,null,N1_uniform_uniform,100,0,79,499,20461396
naive Euclidean-angle HSIC anti-example,0.00181002324514893,0.416,NA,null,N1_uniform_uniform,100,0,79,499,20461396
first-order trigonometric moment diagnostic,0.073752076098738,0.112,NA,null,N1_uniform_uniform,100,0,79,499,20461396
HSIC fixed,0.166457285965588,0.892,NA,null,N1_uniform_uniform,100,0,80,499,20461406
HSIC median,0.00118746531247451,0.756,NA,null,N1_uniform_uniform,100,0,80,499,20461406
HSIC standardized multi-scale,-1.51679214389969,0.99,7,null,N1_uniform_uniform,100,0,80,499,20461406
naive Euclidean-angle HSIC anti-example,0.00171411088365078,0.448,NA,null,N1_uniform_uniform,100,0,80,499,20461406
first-order trigonometric moment diagnostic,0.0206798455233163,0.722,NA,null,N1_uniform_uniform,100,0,80,499,20461406
HSIC fixed,0.217846087367119,0.62,NA,null,N1_uniform_uniform,100,0,81,499,20461416
HSIC median,0.00104949690166931,0.842,NA,null,N1_uniform_uniform,100,0,81,499,20461416
HSIC standardized multi-scale,-0.5905682704026,0.882,7,null,N1_uniform_uniform,100,0,81,499,20461416
naive Euclidean-angle HSIC anti-example,0.000556151917459074,0.914,NA,null,N1_uniform_uniform,100,0,81,499,20461416
first-order trigonometric moment diagnostic,0.0119376960249326,0.866,NA,null,N1_uniform_uniform,100,0,81,499,20461416
HSIC fixed,0.086111704950749,0.996,NA,null,N1_uniform_uniform,100,0,82,499,20461426
HSIC median,0.000281079667307377,1,NA,null,N1_uniform_uniform,100,0,82,499,20461426
HSIC standardized multi-scale,-2.41500272288044,1,6,null,N1_uniform_uniform,100,0,82,499,20461426
naive Euclidean-angle HSIC anti-example,0.000228819572493687,1,NA,null,N1_uniform_uniform,100,0,82,499,20461426
first-order trigonometric moment diagnostic,0.00332103409939228,0.988,NA,null,N1_uniform_uniform,100,0,82,499,20461426
HSIC fixed,0.573586013466835,0.006,NA,null,N1_uniform_uniform,100,0,83,499,20461436
HSIC median,0.0067254471796422,0.01,NA,null,N1_uniform_uniform,100,0,83,499,20461436
HSIC standardized multi-scale,2.50809742268978,0.024,7,null,N1_uniform_uniform,100,0,83,499,20461436
naive Euclidean-angle HSIC anti-example,0.00647158886284179,0.026,NA,null,N1_uniform_uniform,100,0,83,499,20461436
first-order trigonometric moment diagnostic,0.137768229265596,0.012,NA,null,N1_uniform_uniform,100,0,83,499,20461436
HSIC fixed,0.31449325934769,0.19,NA,null,N1_uniform_uniform,100,0,84,499,20461446
HSIC median,0.00237830341479637,0.386,NA,null,N1_uniform_uniform,100,0,84,499,20461446
HSIC standardized multi-scale,1.20197544951887,0.224,7,null,N1_uniform_uniform,100,0,84,499,20461446
naive Euclidean-angle HSIC anti-example,0.00216666491175712,0.302,NA,null,N1_uniform_uniform,100,0,84,499,20461446
first-order trigonometric moment diagnostic,0.0442148120197363,0.354,NA,null,N1_uniform_uniform,100,0,84,499,20461446
HSIC fixed,0.177181752198792,0.828,NA,null,N1_uniform_uniform,100,0,85,499,20461456
HSIC median,0.00105535315341456,0.844,NA,null,N1_uniform_uniform,100,0,85,499,20461456
HSIC standardized multi-scale,-0.248471111343036,0.774,7,null,N1_uniform_uniform,100,0,85,499,20461456
naive Euclidean-angle HSIC anti-example,0.00114671827879824,0.636,NA,null,N1_uniform_uniform,100,0,85,499,20461456
first-order trigonometric moment diagnostic,0.0173699068119533,0.776,NA,null,N1_uniform_uniform,100,0,85,499,20461456
HSIC fixed,0.382158587883156,0.09,NA,null,N1_uniform_uniform,100,0,86,499,20461466
HSIC median,0.00472243760941229,0.042,NA,null,N1_uniform_uniform,100,0,86,499,20461466
HSIC standardized multi-scale,-0.400269316437479,0.804,7,null,N1_uniform_uniform,100,0,86,499,20461466
naive Euclidean-angle HSIC anti-example,0.00264564526234627,0.232,NA,null,N1_uniform_uniform,100,0,86,499,20461466
first-order trigonometric moment diagnostic,0.114092644112832,0.034,NA,null,N1_uniform_uniform,100,0,86,499,20461466
HSIC fixed,0.163949833810803,0.906,NA,null,N1_uniform_uniform,100,0,87,499,20461476
HSIC median,0.000792703131397303,0.93,NA,null,N1_uniform_uniform,100,0,87,499,20461476
HSIC standardized multi-scale,-1.27122648891796,0.98,7,null,N1_uniform_uniform,100,0,87,499,20461476
naive Euclidean-angle HSIC anti-example,0.000335727337911845,0.984,NA,null,N1_uniform_uniform,100,0,87,499,20461476
first-order trigonometric moment diagnostic,0.00694388058449601,0.948,NA,null,N1_uniform_uniform,100,0,87,499,20461476
HSIC fixed,0.458277198666924,0.016,NA,null,N1_uniform_uniform,100,0,88,499,20461486
HSIC median,0.00317431877084087,0.192,NA,null,N1_uniform_uniform,100,0,88,499,20461486
HSIC standardized multi-scale,1.33154639163122,0.176,7,null,N1_uniform_uniform,100,0,88,499,20461486
naive Euclidean-angle HSIC anti-example,0.00209569379671951,0.294,NA,null,N1_uniform_uniform,100,0,88,499,20461486
first-order trigonometric moment diagnostic,0.0442908688849,0.334,NA,null,N1_uniform_uniform,100,0,88,499,20461486
HSIC fixed,0.324071084632692,0.194,NA,null,N1_uniform_uniform,100,0,89,499,20461496
HSIC median,0.00332052662991277,0.136,NA,null,N1_uniform_uniform,100,0,89,499,20461496
